EXPORTED XY-GRAPH DATA
129 2 2
Drain Voltage
Drain Current
0.0000000000e+00 -1.0444971870e-18 
0.0000000000e+00 -5.2233344490e-19 
0.0000000000e+00 -1.5717296960e-17 
0.0000000000e+00 -1.8067033580e-17 
0.0000000000e+00 -9.9734963130e-18 
0.0000000000e+00 6.1091454880e-18 
0.0000000000e+00 2.9397646280e-17 
0.0000000000e+00 -5.6917540140e-18 
0.0000000000e+00 -1.8589197280e-17 
1.0000000000e-02 3.1268863230e-09 
2.0000000000e-02 5.7790099980e-09 
3.0000000000e-02 8.0988475080e-09 
4.0000000000e-02 1.0198797970e-08 
5.0000000000e-02 1.2172125880e-08 
6.0000000000e-02 1.4096603060e-08 
7.0000000000e-02 1.6037541310e-08 
8.0000000000e-02 1.8050041430e-08 
9.0000000000e-02 2.0180997010e-08 
1.0000000000e-01 2.2471060860e-08 
1.1000000000e-01 2.4954177290e-08 
1.2000000000e-01 2.7653852370e-08 
1.3000000000e-01 3.0579724940e-08 
1.4000000000e-01 3.3739163920e-08 
1.5000000000e-01 3.7160007660e-08 
1.6000000000e-01 4.0886156350e-08 
1.7000000000e-01 4.4958850730e-08 
1.8000000000e-01 4.9409104400e-08 
1.9000000000e-01 5.4254679880e-08 
2.0000000000e-01 5.9491163990e-08 
2.1000000000e-01 6.5078055760e-08 
2.2000000000e-01 7.0942901370e-08 
2.3000000000e-01 7.7031586140e-08 
2.4000000000e-01 8.3359980920e-08 
2.5000000000e-01 8.9980742320e-08 
2.6000000000e-01 9.6924248360e-08 
2.7000000000e-01 1.0419337230e-07 
2.8000000000e-01 1.1180128120e-07 
2.9000000000e-01 1.1981354060e-07 
3.0000000000e-01 1.2833566360e-07 
3.1000000000e-01 1.3747242810e-07 
3.2000000000e-01 1.4730923370e-07 
3.3000000000e-01 1.5791148400e-07 
3.4000000000e-01 1.6932930430e-07 
3.5000000000e-01 1.8160578690e-07 
3.6000000000e-01 1.9478841500e-07 
3.7000000000e-01 2.0893543620e-07 
3.8000000000e-01 2.2410943640e-07 
3.9000000000e-01 2.4036354080e-07 
4.0000000000e-01 2.5773863020e-07 
4.1000000000e-01 2.7629199440e-07 
4.2000000000e-01 2.9612854370e-07 
4.3000000000e-01 3.1738836250e-07 
4.4000000000e-01 3.4022022630e-07 
4.5000000000e-01 3.6477076370e-07 
4.6000000000e-01 3.9118852710e-07 
4.7000000000e-01 4.1963865020e-07 
4.8000000000e-01 4.5031098230e-07 
4.9000000000e-01 4.8341601250e-07 
5.0000000000e-01 5.1918123720e-07 
5.1000000000e-01 5.5785013360e-07 
5.2000000000e-01 5.9968145240e-07 
5.3000000000e-01 6.4494587180e-07 
5.4000000000e-01 6.9391664710e-07 
5.5000000000e-01 7.4684895600e-07 
5.6000000000e-01 8.0394326370e-07 
5.7000000000e-01 8.6530889320e-07 
5.8000000000e-01 9.3100548450e-07 
5.9000000000e-01 1.0012323830e-06 
6.0000000000e-01 1.0764889050e-06 
6.1000000000e-01 1.1574803290e-06 
6.2000000000e-01 1.2449824660e-06 
6.3000000000e-01 1.3398229260e-06 
6.4000000000e-01 1.4429627720e-06 
6.5000000000e-01 1.5556288920e-06 
6.6000000000e-01 1.6792416340e-06 
6.7000000000e-01 1.8153121800e-06 
6.8000000000e-01 1.9651491600e-06 
6.9000000000e-01 2.1295714510e-06 
7.0000000000e-01 2.3090912780e-06 
7.1000000000e-01 2.5063195860e-06 
7.2000000000e-01 2.7255266660e-06 
7.3000000000e-01 2.9746035700e-06 
7.4000000000e-01 3.2629480600e-06 
7.5000000000e-01 3.6016463980e-06 
7.6000000000e-01 4.0020770100e-06 
7.7000000000e-01 4.4783785530e-06 
7.8000000000e-01 5.0476176260e-06 
7.9000000000e-01 5.7285069750e-06 
8.0000000000e-01 6.5400757280e-06 
8.1000000000e-01 7.5130258570e-06 
8.2000000000e-01 8.6794978020e-06 
8.3000000000e-01 1.0076968470e-05 
8.4000000000e-01 1.1748522070e-05 
8.5000000000e-01 1.3742456860e-05 
8.6000000000e-01 1.6110331320e-05 
8.7000000000e-01 1.8888467310e-05 
8.8000000000e-01 2.2141328010e-05 
8.9000000000e-01 2.5903462300e-05 
9.0000000000e-01 3.0220663450e-05 
9.1000000000e-01 3.5183941790e-05 
9.2000000000e-01 4.0858182630e-05 
9.3000000000e-01 4.7287722340e-05 
9.4000000000e-01 5.4466979080e-05 
9.5000000000e-01 6.2251690850e-05 
9.6000000000e-01 7.0336460060e-05 
9.7000000000e-01 7.8776977940e-05 
9.8000000000e-01 8.7348763370e-05 
9.9000000000e-01 9.6557325760e-05 
1.0000000000e+00 1.0661550640e-04 
1.0100000000e+00 1.1760537680e-04 
1.0200000000e+00 1.2954739600e-04 
1.0300000000e+00 1.4244849310e-04 
1.0400000000e+00 1.5630936490e-04 
1.0500000000e+00 1.7112618640e-04 
1.0600000000e+00 1.8689101220e-04 
1.0700000000e+00 2.0359215290e-04 
1.0800000000e+00 2.2121433190e-04 
1.0900000000e+00 2.3973895010e-04 
1.1000000000e+00 2.5914489380e-04 
1.1100000000e+00 2.7940876350e-04 
1.1200000000e+00 3.0050530370e-04 
1.1300000000e+00 3.2240783790e-04 
1.1400000000e+00 3.4508858720e-04 
1.1500000000e+00 3.6840798330e-04 
1.1600000000e+00 3.9207328470e-04 
1.1700000000e+00 4.1638014900e-04 
1.1800000000e+00 4.4129781250e-04 
1.1900000000e+00 4.6679480780e-04 
1.2000000000e+00 4.9283911580e-04 
