EXPORTED XY-GRAPH DATA
136 2 2
Drain Voltage
Drain Current
1.1250000000e+00 3.1135753510e-04 
1.0500000000e+00 1.7112618690e-04 
9.0000000000e-01 3.0220663450e-05 
6.0000000000e-01 1.0764889050e-06 
0.0000000000e+00 -1.9321754120e-18 
0.0000000000e+00 -3.0598962260e-17 
0.0000000000e+00 -4.6996429940e-18 
0.0000000000e+00 -1.2166583830e-17 
0.0000000000e+00 3.1312847200e-19 
0.0000000000e+00 -1.2197760890e-16 
0.0000000000e+00 1.9894267020e-17 
0.0000000000e+00 1.9633185170e-17 
0.0000000000e+00 -7.3677467090e-17 
0.0000000000e+00 -8.5636543450e-18 
0.0000000000e+00 -1.5560647860e-17 
0.0000000000e+00 5.6914145230e-18 
1.0000000000e-02 1.4133930700e-05 
2.0000000000e-02 2.7797671090e-05 
3.0000000000e-02 4.0968424920e-05 
4.0000000000e-02 5.3635735940e-05 
5.0000000000e-02 6.5811965420e-05 
6.0000000000e-02 7.7528304710e-05 
7.0000000000e-02 8.8824942750e-05 
8.0000000000e-02 9.9742598800e-05 
9.0000000000e-02 1.1031871120e-04 
1.0000000000e-01 1.2058695040e-04 
1.1000000000e-01 1.3057785110e-04 
1.2000000000e-01 1.4031914430e-04 
1.3000000000e-01 1.4983578540e-04 
1.4000000000e-01 1.5915013500e-04 
1.5000000000e-01 1.6828208180e-04 
1.6000000000e-01 1.7724917190e-04 
1.7000000000e-01 1.8606675450e-04 
1.8000000000e-01 1.9474810780e-04 
1.9000000000e-01 2.0330447550e-04 
2.0000000000e-01 2.1174491360e-04 
2.1000000000e-01 2.2007574760e-04 
2.2000000000e-01 2.2829909700e-04 
2.3000000000e-01 2.3640891440e-04 
2.4000000000e-01 2.4438134940e-04 
2.5000000000e-01 2.5216704390e-04 
2.6000000000e-01 2.5974058490e-04 
2.7000000000e-01 2.6715032410e-04 
2.8000000000e-01 2.7444570360e-04 
2.9000000000e-01 2.8164349750e-04 
3.0000000000e-01 2.8874284590e-04 
3.1000000000e-01 2.9574199500e-04 
3.2000000000e-01 3.0264356860e-04 
3.3000000000e-01 3.0944556660e-04 
3.4000000000e-01 3.1613166700e-04 
3.5000000000e-01 3.2266681470e-04 
3.6000000000e-01 3.2900630960e-04 
3.7000000000e-01 3.3513104150e-04 
3.8000000000e-01 3.4106972080e-04 
3.9000000000e-01 3.4686951330e-04 
4.0000000000e-01 3.5256694550e-04 
4.1000000000e-01 3.5818434030e-04 
4.2000000000e-01 3.6373463880e-04 
4.3000000000e-01 3.6922537310e-04 
4.4000000000e-01 3.7466092530e-04 
4.5000000000e-01 3.8004372790e-04 
4.6000000000e-01 3.8537490210e-04 
4.7000000000e-01 3.9065460170e-04 
4.8000000000e-01 3.9588219700e-04 
4.9000000000e-01 4.0105637390e-04 
5.0000000000e-01 4.0617519100e-04 
5.1000000000e-01 4.1123611750e-04 
5.2000000000e-01 4.1623604430e-04 
5.3000000000e-01 4.2117121500e-04 
5.4000000000e-01 4.2603694260e-04 
5.5000000000e-01 4.3082685110e-04 
5.6000000000e-01 4.3553103380e-04 
5.7000000000e-01 4.4013123430e-04 
5.8000000000e-01 4.4458558100e-04 
5.9000000000e-01 4.4876763240e-04 
6.0000000000e-01 4.5227503760e-04 
6.1000000000e-01 4.5505938150e-04 
6.2000000000e-01 4.5788522980e-04 
6.3000000000e-01 4.6085583870e-04 
6.4000000000e-01 4.6390651930e-04 
6.5000000000e-01 4.6699040980e-04 
6.6000000000e-01 4.7007779070e-04 
6.7000000000e-01 4.7314875930e-04 
6.8000000000e-01 4.7618897160e-04 
6.9000000000e-01 4.7918740520e-04 
7.0000000000e-01 4.8213547100e-04 
7.1000000000e-01 4.8502723560e-04 
7.2000000000e-01 4.8786005900e-04 
7.3000000000e-01 4.9063430480e-04 
7.4000000000e-01 4.9335191580e-04 
7.5000000000e-01 4.9601508870e-04 
7.6000000000e-01 4.9862548320e-04 
7.7000000000e-01 5.0118386050e-04 
7.8000000000e-01 5.0369023780e-04 
7.9000000000e-01 5.0614425480e-04 
8.0000000000e-01 5.0854544700e-04 
8.1000000000e-01 5.1089338640e-04 
8.2000000000e-01 5.1318773740e-04 
8.3000000000e-01 5.1542826470e-04 
8.4000000000e-01 5.1761480970e-04 
8.5000000000e-01 5.1974723320e-04 
8.6000000000e-01 5.2182530140e-04 
8.7000000000e-01 5.2384843590e-04 
8.8000000000e-01 5.2581507310e-04 
8.9000000000e-01 5.2772071480e-04 
9.0000000000e-01 5.2955200590e-04 
9.1000000000e-01 5.3128355420e-04 
9.2000000000e-01 5.3291929260e-04 
9.3000000000e-01 5.3449263260e-04 
9.4000000000e-01 5.3602062940e-04 
9.5000000000e-01 5.3750891010e-04 
9.6000000000e-01 5.3895978810e-04 
9.7000000000e-01 5.4037475230e-04 
9.8000000000e-01 5.4175509600e-04 
9.9000000000e-01 5.4310193360e-04 
1.0000000000e+00 5.4441599690e-04 
1.0100000000e+00 5.4569762610e-04 
1.0200000000e+00 5.4694768990e-04 
1.0300000000e+00 5.4816853950e-04 
1.0400000000e+00 5.4936249110e-04 
1.0500000000e+00 5.5052996060e-04 
1.0600000000e+00 5.5167001700e-04 
1.0700000000e+00 5.5278357400e-04 
1.0800000000e+00 5.5387508420e-04 
1.0900000000e+00 5.5494916380e-04 
1.1000000000e+00 5.5600833650e-04 
1.1100000000e+00 5.5705359890e-04 
1.1200000000e+00 5.5808522920e-04 
1.1300000000e+00 5.5910314450e-04 
1.1400000000e+00 5.6010698170e-04 
1.1500000000e+00 5.6109602470e-04 
1.1600000000e+00 5.6206902790e-04 
1.1700000000e+00 5.6302415210e-04 
1.1800000000e+00 5.6395963070e-04 
1.1900000000e+00 5.6487516980e-04 
1.2000000000e+00 5.6577221160e-04 
