EXPORTED XY-GRAPH DATA
136 2 2
Drain Voltage
Drain Current
1.1250000000e+00 5.5859591710e-04 
1.0500000000e+00 5.5052996060e-04 
9.0000000000e-01 5.2955200360e-04 
7.5000000000e-01 4.9601544030e-04 
6.7500000000e-01 4.7467394690e-04 
6.0000000000e-01 4.5227503370e-04 
4.5000000000e-01 3.8004372770e-04 
3.0000000000e-01 2.8874285320e-04 
1.5000000000e-01 1.6828217640e-04 
0.0000000000e+00 -3.2896482520e-17 
0.0000000000e+00 1.7387881290e-17 
0.0000000000e+00 2.0886378040e-17 
0.0000000000e+00 4.9081689780e-18 
0.0000000000e+00 5.4303326660e-18 
0.0000000000e+00 6.7357419130e-18 
0.0000000000e+00 -8.3547888670e-18 
1.0000000000e-02 1.4590141140e-14 
2.0000000000e-02 2.9175113030e-14 
3.0000000000e-02 4.5137657180e-14 
4.0000000000e-02 6.3970013000e-14 
5.0000000000e-02 8.7332347730e-14 
6.0000000000e-02 1.1728491050e-13 
7.0000000000e-02 1.5529785310e-13 
8.0000000000e-02 2.0536515340e-13 
9.0000000000e-02 2.7186217780e-13 
1.0000000000e-01 3.6073386430e-13 
1.1000000000e-01 4.7987313480e-13 
1.2000000000e-01 6.4001760700e-13 
1.3000000000e-01 8.5567298830e-13 
1.4000000000e-01 1.1465160780e-12 
1.5000000000e-01 1.5391609840e-12 
1.6000000000e-01 2.0697628970e-12 
1.7000000000e-01 2.7873250500e-12 
1.8000000000e-01 3.7585496790e-12 
1.9000000000e-01 5.0738406550e-12 
2.0000000000e-01 6.8563053790e-12 
2.1000000000e-01 9.2731643210e-12 
2.2000000000e-01 1.2551975060e-11 
2.3000000000e-01 1.7002393050e-11 
2.4000000000e-01 2.3045931580e-11 
2.5000000000e-01 3.1256576270e-11 
2.6000000000e-01 4.2415902690e-11 
2.7000000000e-01 5.7589359280e-11 
2.8000000000e-01 7.7942006910e-11 
2.9000000000e-01 1.0461987130e-10 
3.0000000000e-01 1.4067057120e-10 
3.1000000000e-01 1.8944040000e-10 
