EXPORTED XY-GRAPH DATA
135 2 2
Drain Voltage
Drain Current
1.1250000000e+00 3.8758849580e-04 
1.0500000000e+00 2.8272563300e-04 
9.0000000000e-01 1.1604766410e-04 
6.0000000000e-01 7.8841024880e-07 
0.0000000000e+00 7.7800693020e-18 
0.0000000000e+00 5.4825490450e-18 
0.0000000000e+00 6.9968237600e-18 
0.0000000000e+00 -1.6188772040e-18 
0.0000000000e+00 2.0155348860e-17 
0.0000000000e+00 -7.3104614850e-18 
0.0000000000e+00 1.0547536880e-17 
0.0000000000e+00 3.5350312380e-17 
0.0000000000e+00 -1.2323232960e-17 
0.0000000000e+00 -1.3680858560e-17 
0.0000000000e+00 -1.5142916910e-17 
1.0000000000e-02 2.0042783310e-14 
2.0000000000e-02 3.4246314620e-14 
3.0000000000e-02 4.4500513040e-14 
4.0000000000e-02 5.1934609780e-14 
5.0000000000e-02 5.7436961930e-14 
6.0000000000e-02 6.1623043840e-14 
7.0000000000e-02 6.4933196150e-14 
8.0000000000e-02 6.7588085240e-14 
9.0000000000e-02 6.9852239240e-14 
1.0000000000e-01 7.1734796010e-14 
1.1000000000e-01 7.3468483900e-14 
1.2000000000e-01 7.5107764610e-14 
1.3000000000e-01 7.6645693340e-14 
1.4000000000e-01 7.8124147620e-14 
1.5000000000e-01 7.9544119580e-14 
1.6000000000e-01 8.0968895430e-14 
1.7000000000e-01 8.2358164160e-14 
1.8000000000e-01 8.3755578640e-14 
1.9000000000e-01 8.5117485990e-14 
2.0000000000e-01 8.6550094300e-14 
2.1000000000e-01 8.7995704490e-14 
2.2000000000e-01 8.9388628360e-14 
2.3000000000e-01 9.0836536070e-14 
2.4000000000e-01 9.2223455060e-14 
2.5000000000e-01 9.3663791400e-14 
2.6000000000e-01 9.5121202490e-14 
2.7000000000e-01 9.6558458060e-14 
2.8000000000e-01 9.8025946900e-14 
2.9000000000e-01 9.9457980840e-14 
3.0000000000e-01 1.0093810600e-13 
3.1000000000e-01 1.0240115650e-13 
3.2000000000e-01 1.0385945530e-13 
3.3000000000e-01 1.0532506430e-13 
3.4000000000e-01 1.0677323310e-13 
3.5000000000e-01 1.0824688350e-13 
3.6000000000e-01 1.0968795090e-13 
3.7000000000e-01 1.1115632740e-13 
3.8000000000e-01 1.1260527940e-13 
3.9000000000e-01 1.1405454480e-13 
4.0000000000e-01 1.1547352460e-13 
4.1000000000e-01 1.1689950140e-13 
4.2000000000e-01 1.1829670710e-13 
4.3000000000e-01 1.1971307610e-13 
4.4000000000e-01 1.2107571450e-13 
4.5000000000e-01 1.2242341890e-13 
4.6000000000e-01 1.2375953140e-13 
4.7000000000e-01 1.2506347860e-13 
4.8000000000e-01 1.2638063650e-13 
4.9000000000e-01 1.2764954650e-13 
5.0000000000e-01 1.2890085960e-13 
5.1000000000e-01 1.3008502240e-13 
5.2000000000e-01 1.3132020060e-13 
5.3000000000e-01 1.3250556440e-13 
5.4000000000e-01 1.3364607440e-13 
5.5000000000e-01 1.3480016060e-13 
5.6000000000e-01 1.3594735420e-13 
5.7000000000e-01 1.3707768200e-13 
5.8000000000e-01 1.3817030950e-13 
5.9000000000e-01 1.3929609440e-13 
6.0000000000e-01 1.4040626660e-13 
6.1000000000e-01 1.4156249370e-13 
6.2000000000e-01 1.4269156830e-13 
6.3000000000e-01 1.4382325370e-13 
6.4000000000e-01 1.4492475800e-13 
6.5000000000e-01 1.4607816540e-13 
6.6000000000e-01 1.4722358360e-13 
6.7000000000e-01 1.4835114390e-13 
6.8000000000e-01 1.4952397580e-13 
6.9000000000e-01 1.5065774980e-13 
7.0000000000e-01 1.5185815190e-13 
7.1000000000e-01 1.5303646650e-13 
7.2000000000e-01 1.5423253470e-13 
7.3000000000e-01 1.5538338350e-13 
7.4000000000e-01 1.5663662860e-13 
7.5000000000e-01 1.5785102470e-13 
7.6000000000e-01 1.5909554960e-13 
7.7000000000e-01 1.6028013020e-13 
7.8000000000e-01 1.6154564610e-13 
7.9000000000e-01 1.6278427060e-13 
8.0000000000e-01 1.6407615580e-13 
8.1000000000e-01 1.6527895990e-13 
8.2000000000e-01 1.6660405470e-13 
8.3000000000e-01 1.6790063930e-13 
8.4000000000e-01 1.6922025140e-13 
8.5000000000e-01 1.7048848260e-13 
8.6000000000e-01 1.7184459400e-13 
8.7000000000e-01 1.7321605690e-13 
8.8000000000e-01 1.7457921740e-13 
8.9000000000e-01 1.7598211460e-13 
9.0000000000e-01 1.7736125340e-13 
9.1000000000e-01 1.7881861230e-13 
9.2000000000e-01 1.8034165930e-13 
9.3000000000e-01 1.8183922480e-13 
9.4000000000e-01 1.8341944880e-13 
9.5000000000e-01 1.8510045040e-13 
9.6000000000e-01 1.8682855110e-13 
9.7000000000e-01 1.8870296210e-13 
9.8000000000e-01 1.9073198580e-13 
9.9000000000e-01 1.9290632770e-13 
1.0000000000e+00 1.9540352330e-13 
1.0100000000e+00 1.9829108850e-13 
1.0200000000e+00 2.0149999330e-13 
1.0300000000e+00 2.0526369700e-13 
1.0400000000e+00 2.0944445290e-13 
1.0500000000e+00 2.1439284150e-13 
1.0600000000e+00 2.2041693970e-13 
1.0700000000e+00 2.2767303080e-13 
1.0800000000e+00 2.3666714380e-13 
1.0900000000e+00 2.4786593630e-13 
1.1000000000e+00 2.6186744250e-13 
1.1100000000e+00 2.7950566220e-13 
1.1200000000e+00 3.0212177280e-13 
1.1300000000e+00 3.3111068240e-13 
1.1400000000e+00 3.6864448760e-13 
1.1500000000e+00 4.1483482700e-13 
1.1600000000e+00 4.7403508360e-13 
1.1700000000e+00 5.5004796700e-13 
1.1800000000e+00 6.4786447420e-13 
1.1900000000e+00 7.7384398470e-13 
1.2000000000e+00 9.3659441930e-13 
